provincia destinazione,area geografica provenienza,paese provenienza,esercizi alberghieri - arrivi,esercizi alberghieri - presenze,esercizi complementari - arrivi,esercizi complementari - presenze,totale esercizi ricettivi - arrivi,totale esercizi ricettivi - presenze
Viterbo,Unione Europea,Italia,109.176,528.587,52.162,245.112,161.338,773.699
Viterbo,Unione Europea,Austria,1.150,4.155,842,4.672,1.992,8.827
Viterbo,Unione Europea,Belgio,683,3.215,507,3.627,1.190,6.842
Viterbo,Unione Europea,Bulgaria,81,1.992,3,44,84,2.036
Viterbo,Unione Europea,Cipro,7,14,-,-,7,14
Viterbo,Unione Europea,"Ceca, Repubblica",135,829,90,303,225,1.132
Viterbo,Unione Europea,Germania,1.616,5.336,3.702,30.612,5.318,35.948
Viterbo,Unione Europea,Danimarca,1.832,7.955,2.681,16.946,4.513,24.901
Viterbo,Unione Europea,Estonia,14,21,7,7,21,28
Viterbo,Unione Europea,Spagna,835,2.537,330,1.791,1.165,4.328
Viterbo,Unione Europea,Finlandia,196,511,26,113,222,624
Viterbo,Unione Europea,Francia,1.635,4.599,1.189,7.376,2.824,11.975
Viterbo,Unione Europea,Grecia,178,2.549,66,360,244,2.909
Viterbo,Unione Europea,Ungheria,145,564,21,49,166,613
Viterbo,Unione Europea,Irlanda,63,120,21,95,84,215
Viterbo,Unione Europea,Lituania,66,84,14,40,80,124
Viterbo,Unione Europea,Lussemburgo,873,4.309,83,225,956,4.534
Viterbo,Unione Europea,Lettonia,42,63,15,55,57,118
Viterbo,Unione Europea,Malta,36,972,3,8,39,980
Viterbo,Unione Europea,Paesi Bassi,840,2.549,1.100,7.266,1.940,9.815
Viterbo,Unione Europea,Polonia,719,2.655,884,6.039,1.603,8.694
Viterbo,Unione Europea,Portogallo,75,287,9,15,84,302
Viterbo,Unione Europea,Romania,573,2.783,93,505,666,3.288
Viterbo,Unione Europea,Svezia,262,560,58,319,320,879
Viterbo,Unione Europea,Slovenia,38,106,34,61,72,167
Viterbo,Unione Europea,Slovacchia,13,483,20,99,33,582
Viterbo,Unione Europea,Regno unito,1.277,6.801,320,3.063,1.597,9.864
Rieti,Unione Europea,Italia,43.887,92.454,6.526,26.601,50.413,119.055
Rieti,Unione Europea,Austria,281,690,76,206,357,896
Rieti,Unione Europea,Belgio,225,427,72,210,297,637
Rieti,Unione Europea,Bulgaria,31,76,8,88,39,164
Rieti,Unione Europea,Cipro,-,-,-,-,-,-
Rieti,Unione Europea,"Ceca, Repubblica",38,103,5,9,43,112
Rieti,Unione Europea,Germania,958,1.781,247,664,1.205,2.445
Rieti,Unione Europea,Danimarca,62,147,67,203,129,350
Rieti,Unione Europea,Estonia,7,9,3,3,10,12
Rieti,Unione Europea,Spagna,204,392,43,271,247,663
Rieti,Unione Europea,Finlandia,67,310,14,68,81,378
Rieti,Unione Europea,Francia,527,986,57,210,584,1.196
Rieti,Unione Europea,Grecia,67,123,-,-,67,123
Rieti,Unione Europea,Ungheria,20,31,15,56,35,87
Rieti,Unione Europea,Irlanda,39,80,8,27,47,107
Rieti,Unione Europea,Lituania,35,181,1,1,36,182
Rieti,Unione Europea,Lussemburgo,-,-,-,-,-,-
Rieti,Unione Europea,Lettonia,9,39,2,23,11,62
Rieti,Unione Europea,Malta,10,20,4,72,14,92
Rieti,Unione Europea,Paesi Bassi,285,379,101,439,386,818
Rieti,Unione Europea,Polonia,437,1.030,23,106,460,1.136
Rieti,Unione Europea,Portogallo,18,42,7,55,25,97
Rieti,Unione Europea,Romania,272,825,39,178,311,1.003
Rieti,Unione Europea,Svezia,124,334,125,513,249,847
Rieti,Unione Europea,Slovenia,47,195,4,22,51,217
Rieti,Unione Europea,Slovacchia,12,24,2,47,14,71
Rieti,Unione Europea,Regno unito,277,639,126,498,403,1.137
Roma,Unione Europea,Italia,2.404.927,5.218.027,262.866,1.113.036,2.667.793,6.331.063
Roma,Unione Europea,Austria,62.795,238.186,6.083,27.762,68.878,265.948
Roma,Unione Europea,Belgio,81.437,267.852,7.449,30.667,88.886,298.519
Roma,Unione Europea,Bulgaria,15.053,47.508,1.358,5.011,16.411,52.519
Roma,Unione Europea,Cipro,4.008,17.349,369,2.021,4.377,19.370
Roma,Unione Europea,"Ceca, Repubblica",12.600,37.859,1.064,3.834,13.664,41.693
Roma,Unione Europea,Germania,472.950,1.741.500,45.525,210.038,518.475,1.951.538
